"group_id","artifact_id","desc","tags"
"junit","junit","JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.","testing=junit"
"org.slf4j","slf4j-api","The slf4j API","api=logging=slf4j"
"org.scala-lang","scala-library","Standard library for the Scala Programming Language","library=scala=jvm=language"
"com.google.guava","guava","Guava is a suite of core and expanded libraries that includeutility classes, google's collections, io classes, and muchmuch more.","google"
"commons-io","commons-io","The Apache Commons IO library contains utility classes, stream implementations, file filters,file comparators, endian transformation classes, and much more.","io"
"ch.qos.logback","logback-classic","logback-classic module","logging"
"org.apache.commons","commons-lang3","Apache Commons Lang, a package of Java utility classes for theclasses that are in java.lang's hierarchy, or are considered to be sostandard as to justify existence in java.lang.","apache=commons"
"org.mockito","mockito-core","Mockito mock objects library core API and implementation","mock=mocking=testing"
"com.fasterxml.jackson.core","jackson-databind","General data-binding functionality for Jackson: works on core streaming API","binding=json"
"log4j","log4j","Apache Log4j 1.2","logging"
"commons-lang","commons-lang","Commons Lang, a package of Java utility classes for theclasses that are in java.lang's hierarchy, or are considered to be sostandard as to justify existence in java.lang.",""
"commons-codec","commons-codec","The Apache Commons Codec package contains simple encoder and decoders forvarious formats such as Base64 and Hexadecimal. In addition to thesewidely used encoders and decoders, the codec package also maintains acollection of phonetic encoding utilities.","codec=base64=encoding"
"joda-time","joda-time","Date and time library to replace JDK date handling","time=date"
"org.mockito","mockito-all","Mock objects library for java","mock=mocking=testing"
"commons-logging","commons-logging","Apache Commons Logging is a thin adapter allowing configurable bridging to other,well known logging systems.","logging"
"org.slf4j","slf4j-log4j12","SLF4J LOG4J-12 Binding","logging=slf4j=bridge"
"org.springframework","spring-context","Spring Context","spring=dependency-injection"
"javax.servlet","javax.servlet-api","Java Servlet API","standard=servlet=javax=api=specs"
"org.apache.httpcomponents","httpclient","Apache HttpComponents Client","http=apache=client"
"commons-collections","commons-collections","Types that extend and augment the Java Collections Framework.","collections=structures"
"org.springframework","spring-test","Spring TestContext Framework","testing=spring"
"org.springframework","spring-core","Spring Core","spring"
"com.fasterxml.jackson.core","jackson-annotations","Core annotations used for value types, used by Jackson data binding package.","annotations=json"
"com.google.code.findbugs","jsr305","JSR305 Annotations for Findbugs","google=analysis"
"com.fasterxml.jackson.core","jackson-core","Core Jackson processing abstractions (aka Streaming API), implementation for JSON","json"
"org.springframework","spring-beans","Spring Beans","beans=spring=dependency-injection"
"org.scalatest","scalatest_2.11","scalatest","scala=testing"
"org.slf4j","jcl-over-slf4j","JCL 1.2 implemented over SLF4J","logging=slf4j=bridge"
"org.springframework","spring-web","Spring Web","spring=web=framework"
"javax.servlet","servlet-api","JavaServlet(TM) Specification","standard=servlet=javax=api=specs"
"org.slf4j","jul-to-slf4j","JUL to SLF4J bridge","logging=slf4j=bridge"
"org.apache.logging.log4j","log4j-core","The Apache Log4j Implementation","logging=apache"
"commons-beanutils","commons-beanutils","Apache Commons BeanUtils provides an easy-to-use but flexible wrapper around reflection and introspection.","beans=reflection"
"org.objenesis","objenesis","A library for instantiating Java objects","reflection"
"org.springframework","spring-webmvc","Spring Web MVC","spring=mvc=web=framework"
"org.scala-lang","scala-reflect","Compiler for the Scala Programming Language","scala=compiler"
"javax.validation","validation-api","Bean Validation API","standard=javax=api=specs=validation"
"org.apache.logging.log4j","log4j-api","The Apache Log4j API","logging=apache=api"
"org.hamcrest","hamcrest-all","A self-contained hamcrest jar containing all of the sub-modules in a single artifact.","matching=testing"
"com.google.code.gson","gson","Gson","google=json"
"org.aspectj","aspectjweaver","The AspectJ weaver introduces advices to java classes","aspect=aop"
"org.hsqldb","hsqldb","HSQLDB - Lightweight 100% Java SQL Database Engine","database=hsql=embedded=sql"
"org.springframework","spring-jdbc","Spring JDBC","jdbc=sql=spring"
"org.testng","testng","Testing framework for Java","testing=testng"
"com.h2database","h2","H2 Database Engine","database=embedded=sql"
"org.springframework","spring-aop","Spring AOP","spring=aspect=aop"
"org.apache.logging.log4j","log4j-slf4j-impl","The Apache Log4j SLF4J API binding to Log4j 2 Core","logging=apache=slf4j=bridge"
"org.reflections","reflections","Reflections - a Java runtime metadata analysis","reflection"
"org.javassist","javassist","Javassist (JAVA programming ASSISTant) makes Java bytecode manipulationsimple. It is a class library for editing bytecodes in Java.","bytecode"
"commons-cli","commons-cli","Apache Commons CLI provides a simple API for presenting, processing and validating a command line interface.","command-line=cli=parser"
